Rk,Equipo,País,PosLg,PJ,G,E,P,GF,GC,DG,Pts,Pts/PJ,xG,xGA,xGD,xGD/90,Últimos 5,Asistencia,Máximo Goleador,Portero
1,Paris S-G,fr FRA,1,23,18,5,0,62,22,40,59,2.57,59.6,22.1,37.5,1.63,D W W W W,47225,Ousmane Dembélé - 17,Gianluigi Donnarumma
2,Bayern Munich,de GER,1,23,18,4,1,69,19,50,58,2.52,57.5,15.4,42.1,1.83,W W W D W,75000,Harry Kane - 21,Manuel Neuer
3,Liverpool,eng ENG,1,27,19,7,1,64,26,38,64,2.37,59.4,24.5,34.8,1.29,W D W D W,60286,Mohamed Salah - 25,Alisson
4,Inter,it ITA,1,26,17,6,3,59,24,35,57,2.19,48.4,22.4,26.0,1.0,D L W L W,70459,Marcus Thuram - 13,Yann Sommer
5,Leverkusen,de GER,2,23,14,8,1,51,27,24,50,2.17,43.1,22.9,20.2,0.88,D W D D W,29911,Patrik Schick - 15,Lukáš Hrádecký
6,Barcelona,es ESP,1,25,17,3,5,67,25,42,54,2.16,60.8,28.5,32.4,1.29,W W W W W,45010,Robert Lewandowski - 20,Iñaki Peña
7,Real Madrid,es ESP,2,25,16,6,3,54,23,31,54,2.16,49.5,23.7,25.8,1.03,W L D D W,69083,Kylian Mbappé - 17,Thibaut Courtois
8,Napoli,it ITA,2,26,17,5,4,42,21,21,56,2.15,34.8,20.2,14.7,0.56,W D D D L,49809,Romelu Lukaku - 9,Alex Meret
9,Atlético Madrid,es ESP,3,25,15,8,2,42,16,26,53,2.12,40.7,22.8,17.9,0.72,D W D D W,61395,"Alexander Sørloth, Julián Álvarez - 9",Jan Oblak
10,Atalanta,it ITA,3,26,16,6,4,59,26,33,54,2.08,44.5,24.5,20.0,0.77,W D W D W,22742,Mateo Retegui - 21,Marco Carnesecchi
11,Arsenal,eng ENG,2,26,15,8,3,51,23,28,53,2.04,41.2,22.5,18.7,0.72,D W W W L,60275,Kai Havertz - 9,David Raya
12,Marseille,fr FRA,2,23,14,4,5,50,29,21,46,2.0,43.9,31.9,12.0,0.52,L W W W L,63140,Mason Greenwood - 14,Gerónimo Rulli
13,Athletic Club,es ESP,4,25,13,9,3,44,22,22,48,1.92,39.5,22.3,17.2,0.69,D D W D W,48355,Oihan Sancet - 13,Julen Agirrezabala
