Rk,Player,País,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls90,Ast90,G+A90,G-PK90,G+A-PK90,xG90,xAG90,xG+xAG90,npxG90,npxG+xAG90,Matches
1,Max Aarons,eng ENG,DF,Bournemouth,eng Premier League,25-052,2000,3,1,86,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,8,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
2,Max Aarons,eng ENG,MF,Valencia,es La Liga,25-052,2000,1,0,31,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
3,Rodrigo Abajas,es ESP,DF,Valencia,es La Liga,21-289,2003,1,1,65,0.7,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,3,2,3,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.10,0.10,0.10,Matches
4,James Abankwah,ie IRL,"DF,MF",Udinese,it Serie A,21-040,2004,6,0,88,1.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,3,4,1,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06,Matches
5,Keyliane Abdallah,fr FRA,FW,Marseille,fr Ligue 1,18-326,2006,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
6,Yunis Abdelhamid,ma MAR,DF,Saint-Étienne,fr Ligue 1,37-150,1987,12,11,976,10.8,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.4,4,22,3,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Matches
7,Himad Abdelli,dz ALG,"MF,FW",Angers,fr Ligue 1,25-100,1999,22,22,1952,21.7,6,1,7,3,3,4,2,0,5.5,2.3,2.8,5.1,80,147,90,0.28,0.05,0.32,0.14,0.18,0.25,0.13,0.38,0.11,0.23,Matches
8,Mohamed Abdelmoneim,eg EGY,DF,Nice,fr Ligue 1,26-024,1999,9,7,609,6.8,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,2,26,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
9,Ali Abdi,tn TUN,DF,Nice,fr Ligue 1,31-067,1993,15,11,931,10.3,2,2,4,2,0,0,1,0,1.2,1.2,1.4,2.6,26,29,58,0.19,0.19,0.39,0.19,0.39,0.11,0.13,0.25,0.11,0.25,Matches
10,Saud Abdulhamid,sa KSA,DF,Roma,it Serie A,25-222,1999,3,1,142,1.6,0,1,1,0,0,0,0,0,0.0,0.0,0.1,0.1,4,6,18,0.00,0.63,0.63,0.00,0.63,0.02,0.07,0.09,0.02,0.09,Matches
11,Abel,es ESP,DF,Osasuna,es La Liga,24-188,2000,24,13,1407,15.6,2,0,2,2,0,0,2,0,0.4,0.4,0.7,1.0,34,49,53,0.13,0.00,0.13,0.13,0.13,0.02,0.04,0.07,0.02,0.07,Matches
12,Nabil Aberdin,fr FRA,MF,Getafe,es La Liga,22-186,2002,7,4,263,2.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.1,2,6,2,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,Matches
13,Oliver Abildgaard,dk DEN,MF,Como,it Serie A,28-260,1996,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
14,Matthis Abline,fr FRA,FW,Nantes,fr Ligue 1,21-334,2003,23,22,1831,20.3,7,1,8,6,1,1,2,0,7.0,6.3,2.7,8.9,48,33,119,0.34,0.05,0.39,0.29,0.34,0.35,0.13,0.48,0.31,0.44,Matches
15,Abner,br BRA,DF,Lyon,fr Ligue 1,24-274,2000,14,9,820,9.1,1,1,2,1,0,0,1,0,0.2,0.2,0.9,1.1,22,51,48,0.11,0.11,0.22,0.11,0.22,0.02,0.10,0.12,0.02,0.12,Matches
16,Zakaria Aboukhlal,ma MAR,"MF,FW",Toulouse,fr Ligue 1,25-007,2000,23,22,1827,20.3,7,2,9,6,1,2,4,0,10.1,8.5,1.5,10.0,29,22,152,0.34,0.10,0.44,0.30,0.39,0.50,0.07,0.57,0.42,0.49,Matches
17,Abdel Abqar,ma MAR,DF,Alavés,es La Liga,25-352,1999,23,23,1938,21.5,0,1,1,0,0,0,12,0,0.6,0.6,0.2,0.8,14,70,4,0.00,0.05,0.05,0.00,0.05,0.03,0.01,0.04,0.03,0.04,Matches
